index,importance
symbol_id,33
time_id,331
feature_00,24
feature_01,54
feature_02,7
feature_03,9
feature_04,131
feature_05,85
feature_06,173
feature_07,205
feature_08,147
feature_09,24
feature_10,24
feature_11,25
feature_12,24
feature_13,15
feature_14,26
feature_15,77
feature_16,35
feature_17,69
feature_18,5
feature_19,21
feature_20,74
feature_21,52
feature_22,79
feature_23,73
feature_24,122
feature_25,64
feature_26,40
feature_27,38
feature_28,34
feature_29,48
feature_30,116
feature_31,55
feature_32,19
feature_33,68
feature_34,35
feature_35,12
feature_36,118
feature_37,53
feature_38,134
feature_39,18
feature_40,18
feature_41,9
feature_42,32
feature_43,22
feature_44,24
feature_45,22
feature_46,4
feature_47,66
feature_48,36
feature_49,17
feature_50,44
feature_51,28
feature_52,91
feature_53,30
feature_54,15
feature_55,28
feature_56,65
feature_57,24
feature_58,112
feature_59,106
feature_60,92
feature_61,155
feature_62,30
feature_63,0
feature_64,15
feature_65,18
feature_66,24
feature_67,18
feature_68,63
feature_69,37
feature_70,24
feature_71,7
feature_72,39
feature_73,21
feature_74,22
feature_75,50
feature_76,41
feature_77,37
feature_78,37
responder_0_lag_1,51
responder_1_lag_1,47
responder_2_lag_1,36
responder_3_lag_1,56
responder_4_lag_1,45
responder_5_lag_1,34
responder_6_lag_1,37
responder_7_lag_1,44
responder_8_lag_1,41
