index,importance
symbol_id,18
time_id,224
feature_00,5
feature_01,63
feature_02,14
feature_03,0
feature_04,93
feature_05,48
feature_06,144
feature_07,143
feature_08,119
feature_09,14
feature_10,7
feature_11,8
feature_12,8
feature_13,14
feature_14,19
feature_15,62
feature_16,29
feature_17,58
feature_18,7
feature_19,18
feature_20,27
feature_21,37
feature_22,40
feature_23,50
feature_24,56
feature_25,33
feature_26,25
feature_27,16
feature_28,11
feature_29,19
feature_30,66
feature_31,40
feature_32,4
feature_33,45
feature_34,22
feature_35,6
feature_36,122
feature_37,38
feature_38,67
feature_39,5
feature_40,10
feature_41,3
feature_42,27
feature_43,13
feature_44,11
feature_45,18
feature_46,6
feature_47,33
feature_48,22
feature_49,6
feature_50,28
feature_51,18
feature_52,76
feature_53,18
feature_54,7
feature_55,8
feature_56,45
feature_57,6
feature_58,89
feature_59,79
feature_60,82
feature_61,63
feature_62,14
feature_63,0
feature_64,9
feature_65,5
feature_66,22
feature_67,16
feature_68,35
feature_69,20
feature_70,10
feature_71,0
feature_72,30
feature_73,7
feature_74,18
feature_75,39
feature_76,46
feature_77,22
feature_78,25
responder_0_lag_1,30
responder_1_lag_1,25
responder_2_lag_1,14
responder_3_lag_1,22
responder_4_lag_1,23
responder_5_lag_1,15
responder_6_lag_1,18
responder_7_lag_1,10
responder_8_lag_1,13
