index,importance
symbol_id,77
time_id,605
feature_00,41
feature_01,157
feature_02,78
feature_03,14
feature_04,209
feature_05,178
feature_06,203
feature_07,319
feature_08,286
feature_09,63
feature_10,46
feature_11,66
feature_12,47
feature_13,35
feature_14,46
feature_15,126
feature_16,49
feature_17,106
feature_18,12
feature_19,51
feature_20,241
feature_21,173
feature_22,120
feature_23,187
feature_24,248
feature_25,172
feature_26,133
feature_27,115
feature_28,110
feature_29,112
feature_30,180
feature_31,143
feature_32,33
feature_33,95
feature_34,35
feature_35,26
feature_36,174
feature_37,124
feature_38,205
feature_39,53
feature_40,25
feature_41,15
feature_42,70
feature_43,29
feature_44,34
feature_45,41
feature_46,16
feature_47,112
feature_48,74
feature_49,58
feature_50,69
feature_51,39
feature_52,115
feature_53,63
feature_54,28
feature_55,49
feature_56,97
feature_57,47
feature_58,205
feature_59,160
feature_60,151
feature_61,268
feature_62,51
feature_63,3
feature_64,50
feature_65,29
feature_66,67
feature_67,30
feature_68,85
feature_69,82
feature_70,61
feature_71,7
feature_72,104
feature_73,62
feature_74,62
feature_75,77
feature_76,65
feature_77,63
feature_78,77
responder_0_lag_1,118
responder_1_lag_1,109
responder_2_lag_1,100
responder_3_lag_1,109
responder_4_lag_1,80
responder_5_lag_1,139
responder_6_lag_1,113
responder_7_lag_1,88
responder_8_lag_1,121
